COMID,DIST_TO_ST,ACC_BASIN_AREA,ACC_STREAM_SLOPE,ACC_BASIN_SLOPE,ACC_ELEV_MEAN,ACC_ELEV_MIN,ACC_ELEV_MAX,ACC_STREAM_LENGTH,CAT_BASIN_AREA,CAT_BASIN_SLOPE,CAT_ELEV_MEAN,CAT_ELEV_MIN,CAT_ELEV_MAX,CAT_STREAM_SLOPE,CAT_STREAM_LENGTH,TOT_BASIN_AREA,TOT_BASIN_SLOPE,TOT_ELEV_MEAN,TOT_ELEV_MIN,TOT_ELEV_MAX,TOT_STREAM_SLOPE,TOT_STREAM_LENGTH,CAT_STREAMRIVER,CAT_ARTIFICIAL,CAT_CANALDITCH,CAT_CONNECTOR,CAT_PIPELINE,ACC_STREAMRIVER,ACC_ARTIFICIAL,ACC_CANALDITCH,ACC_CONNECTOR,ACC_PIPELINE,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CANALDITCH,TOT_CONNECTOR,TOT_PIPELINE,CAT_RDX,ACC_RDX,TOT_RDX,ID,ACC_S1100,ACC_S1200,ACC_S1400,ACC_S1500,ACC_S1630,ACC_S1640,ACC_S1710,ACC_S1720,ACC_S1730,ACC_S1740,ACC_S1750,ACC_S1780,ACC_S1820,ACC_S1830,ACC_TOTAL_ROAD_DENS,CAT_S1100,CAT_S1200,CAT_S1400,CAT_S1500,CAT_S1630,CAT_S1640,CAT_S1710,CAT_S1720,CAT_S1730,CAT_S1740,CAT_S1750,CAT_S1780,CAT_S1820,CAT_S1830,CAT_TOTAL_ROAD_DENS,...1.y,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1750,TOT_S1780,TOT_S1820,TOT_S1830,TOT_TOTAL_ROAD_DENS,CAT_STRM_DENS,ACC_STRM_DENS,TOT_STRM_DENS,SINUOSITY
3917156,397,3.18,0.04698,26.7,1434.72,1184.12,1783.56,2.98,3.18,26.7,1434.72,1184.12,1783.56,0.14,2.977,3.18,26.7,1434.72,1184.12,1783.56,0.04698,2.98,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,406364,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.53,406364,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.53,0.94,0.94,0.94,1.05
3917158,394.04,2.15,0.034286,19.08,1094.96,974.95,1284.16,1.75,2.15,19.08,1094.96,974.95,1284.16,0.06,1.754,2.15,19.08,1094.96,974.95,1284.16,0.034286,1.75,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,406365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.81,0.81,1.04
3917160,511.87,5.35,0.013812,17.04,1116.54,973.22,1281.78,3.62,5.35,17.04,1116.54,973.22,1281.78,0.05,3.623,5.35,17.04,1116.54,973.22,1281.78,0.013812,3.62,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,406366,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.08,406366,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.08,0.68,0.68,0.68,1.22
3917162,2257.87,85.69,0.030216,15.86,1818.47,1263.19,2524.2,20.85,7.21,25.21,1688.18,1263.19,2508.86,0.05,1.612,85.69,15.86,1818.47,1263.19,2524.2,0.030216,20.85,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,13,13,406367,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0.54,406367,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,1.78,0.22,0.24,0.24,1.24
3917164,1023.3,9.28,0.021978,27.96,1245.42,984.64,1659.05,2.73,9.28,27.96,1245.42,984.64,1659.05,0.06,2.728,9.28,27.96,1245.42,984.64,1659.05,0.021978,2.73,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,3,3,3,406368,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.46,406368,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.46,0.29,0.29,0.29,1.05
3917172,577.02,8.14,0.017405,30.31,1587.81,1063.56,2378.58,6.32,8.14,30.31,1587.81,1063.56,2378.58,0.11,6.319,8.14,30.31,1587.81,1063.56,2378.58,0.017405,6.32,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,3,3,3,406372,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0.61,406372,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0.61,0.78,0.78,0.78,1.14
3917176,2697.07,122.61,0.031318,18.81,1748.69,986.39,2524.2,41.51,4.76,22.66,1424.29,986.39,2349.07,0.05,1.684,122.61,18.81,1748.69,986.39,2524.2,0.031318,41.51,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,21,21,406374,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,406374,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.51,0.35,0.34,0.34,1.09
3917178,2278.21,109.72,0.03402,17.79,1774.69,1064.46,2524.2,33.51,6.21,26.14,1571.19,1064.46,2507.37,0.05,2.227,109.72,17.79,1774.69,1064.46,2524.2,0.03402,33.51,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,18,18,406375,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.65,406375,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,1.61,0.36,0.31,0.31,1.09
3917194,3193.14,19.25,0.0125,12.33,1847.81,1581.03,2419.84,2.4,19.25,12.33,1847.81,1581.03,2419.84,0.03,2.404,19.25,12.33,1847.81,1581.03,2419.84,0.0125,2.4,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2,2,2,406382,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,406382,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,0.12,0.12,0.12,1.11
3917198,172.45,155.33,0.026923,19.01,1622.87,878.13,2524.2,57.2,0.31,13.41,907.76,878.13,1012.5,0.02,0.624,155.33,19.01,1622.87,878.13,2524.2,0.026923,57.2,100,0,0,0,0,99.88,0,0.12,0,0,99.88,0,0.12,0,0,0,28,28,406383,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,1.47,406383,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,2.01,0.37,0.37,1.02
3917200,132.02,166.1,0.025191,18.44,1581.39,872.65,2524.2,62.72,0.08,2.93,879.18,875.76,895.59,0.01,0.203,166.1,18.44,1581.39,872.65,2524.2,0.025191,62.72,86.93,0,13.07,0,0,97.29,0,2.71,0,0,97.29,0,2.71,0,0,0,31,31,406384,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.41,406384,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,1.28,2.54,0.38,0.38,1.01
3917230,424.58,2.82,0.004237,1.45,796.83,779.34,832.59,2.36,2.82,1.45,796.83,779.34,832.59,0.01,2.36,2.82,1.45,796.83,779.34,832.59,0.004237,2.36,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,1,1,406395,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,1.6,406395,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,1.6,0.84,0.84,0.84,1.1
3917244,1008.53,690.29,0.022157,15.45,1373.44,779.33,3745.13,187.66,12.14,1.98,799.35,779.33,933.48,0,4.125,951.58,16.84,1385.88,779.33,3745.13,0.020907,269.29,45.99,0,54.01,0,0,77.92,0.99,21.06,0.02,0,80.85,2.7,16.43,0.01,0,1,101,154,406397,0.01,0.03,1.39,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,1.05,0,0.01,0,0,0,0,0,0,0,0,0,1.06,406397,0.02,0.03,1.48,0,0.01,0,0,0,0,0.01,0,0,0,0,1.55,0.34,0.27,0.28,1.1
3917912,1906.81,100.33,0.033569,16.99,1798.06,1186.21,2524.2,28.3,5.47,24.36,1535.48,1186.21,2213.64,0.05,1.565,100.33,16.99,1798.06,1186.21,2524.2,0.033569,28.3,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2,17,17,406495,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0.77,0.03,0,0,0,0,0,0,0,0,0,0,0.81,406495,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,1.7,0.29,0.28,0.28,1.2
3917914,2995.77,12.37,0.080357,12.94,1794.91,1583.74,2222.34,2.24,10.46,12.15,1760.87,1583.74,2195.76,0.1,1.544,12.37,12.94,1794.91,1583.74,2222.34,0.080357,2.24,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2,4,4,406496,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,2.28,406496,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,2.38,0.15,0.18,0.18,1.12
3917916,1720.09,40.64,0.027972,13.33,1813.69,1476.05,2524.2,8.58,9.02,15.98,1766.62,1476.05,2524.2,0.03,3.943,40.64,13.33,1813.69,1476.05,2524.2,0.027972,8.58,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,7,7,406497,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,1.43,406497,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,0.44,0.21,0.21,1.23
3917918,2214.43,145.01,0.028389,19.15,1662.28,890.08,2524.2,48.61,13.12,16.07,1149.5,890.08,2293.78,0.02,4.372,145.01,19.15,1662.28,890.08,2524.2,0.028389,48.61,98.46,0,1.54,0,0,99.86,0,0.14,0,0,99.86,0,0.14,0,0,2,26,26,406498,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.72,406498,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,1.37,0.33,0.34,0.34,1.11
3917920,329.07,10.01,0.017566,17.25,1073.96,889.71,1284.16,7.97,2.51,16.12,965.21,889.71,1059.81,0.03,2.588,10.01,17.25,1073.96,889.71,1284.16,0.017566,7.97,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2,2,2,406499,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,406499,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,1.03,0.8,0.8,1.04
3917922,1311.31,9.74,0.008065,9.36,989.34,875.75,1126.02,3.72,9.74,9.36,989.34,875.75,1126.02,0.03,3.724,9.74,9.36,989.34,875.75,1126.02,0.008065,3.72,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,1,1,406500,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,406500,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0.38,0.38,0.38,1.03
3917946,1008.81,706,0.021308,15.23,1360.52,753.9,3745.13,195.61,12.89,6.6,791.66,753.9,994.92,0,5.585,967.29,16.66,1376.25,753.9,3745.13,0.020344,277.23,68.32,5.89,25.79,0,0,77.81,1.15,21.02,0.02,0,80.68,2.76,16.54,0.01,0,3,105,158,406510,0.01,0.03,1.4,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,1.64,406510,0.02,0.03,1.48,0,0.01,0,0,0,0,0.01,0,0,0,0,1.56,0.43,0.28,0.29,1.15
3917948,435.03,169.3,0.024051,18.26,1568.04,827.79,2524.2,66.11,3.19,8.9,873.35,827.79,984.8,0.01,3.394,169.3,18.26,1568.04,827.79,2524.2,0.024051,66.11,96.99,0,3.01,0,0,97.27,0,2.73,0,0,97.27,0,2.73,0,0,1,32,32,406511,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,1.45,406511,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,1.28,1.06,0.39,0.39,1.09
3917950,2321.44,678.15,0.022654,15.69,1383.72,795.33,3745.13,183.54,16.8,2.56,817.96,795.33,961.32,0.01,4.534,939.44,17.03,1393.46,795.33,3745.13,0.021232,265.16,97.72,0,2.28,0,0,79.22,1.03,19.73,0.02,0,81.85,2.78,15.36,0.01,0,1,100,153,406512,0.01,0.03,1.4,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,406512,0.02,0.03,1.48,0,0.01,0,0,0,0,0.01,0,0,0,0,1.56,0.27,0.27,0.28,1.11
948010089,434.56,10.7,0.00565,10.27,984.14,872.65,1126.02,5.31,0.96,19.49,931.16,872.65,1035.81,0,1.59,10.7,10.27,984.14,872.65,1126.02,0.00565,5.31,0.69,0,99.31,0,0,69.72,0,30.28,0,0,69.72,0,30.28,0,0,2,3,3,2695741,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0.89,2695741,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,1.66,0.5,0.5,1.15
